Data Name (clickでcopy),Type,c_code,Category [jp],Category [en],cid(data id),Name [jp],Name [en]
weather,env,10000,天気,Weather,10000,天気,Weather
fine_weather,env,10000,天気,Weather,10011,天気: 快晴,Fine weather
sunny,env,10000,天気,Weather,10012,天気: 晴れ,Sunny
cloudy_thin,env,10000,天気,Weather,10013,天気: 薄曇,Cloudy (Thin)
cloudy,env,10000,天気,Weather,10014,天気: 曇り,Cloudy
smoke_fog,env,10000,天気,Weather,10015,天気: 煙霧,Smoke fog
sand_storm,env,10000,天気,Weather,10016,天気: 砂塵嵐,Sand storm
earth_fubuti,env,10000,天気,Weather,10017,天気: 地吹雪,Earth fubuti
fog,env,10000,天気,Weather,10018,天気: 霧,Fog
drizzle,env,10000,天気,Weather,10019,天気: 霧雨,Drizzle
rain,env,10000,天気,Weather,10020,天気: 雨,Rain
sleet,env,10000,天気,Weather,10021,天気: みぞれ,Sleet
snow,env,10000,天気,Weather,10022,天気: 雪,Snow
hhail_small,env,10000,天気,Weather,10023,天気: あられ,Hhail (Small)
hail,env,10000,天気,Weather,10024,天気: 雹,Hail
thunder,env,10000,天気,Weather,10025,天気: 雷,Thunder
,,,,,,,
rain,env,10500,降水,Precipitation,10510,感雨,Rain
precipitation,env,10500,降水,Precipitation,10520,降水量,Precipitation
rainfall,env,10500,降水,Precipitation,10530,降雨量,Rainfall
rainfall,env,10500,降水,Precipitation,10531,降雨量(/時間),Rainfall (hourly)
rainfall,env,10500,降水,Precipitation,10532,降雨量(/日),Rainfall (dayly)
rainfall_duration,env,10500,降水,Precipitation,10540,降雨時間,Rainfall Duration
rainfall_intensity,env,10500,降水,Precipitation,10550,降雨強度,Rainfall Intensity
snowfall,env,10500,降水,Precipitation,10560,降雪量,Snowfall
snow_cover_depth,env,10500,降水,Precipitation,10570,積雪深,Snow Cover Depth
hailfall,env,10500,降水,Precipitation,10580,降雹量,Hailfall
hailfall_duration,env,10500,降水,Precipitation,10590,降雹時間,Hailfall Duration
hailfall_intensity,env,10500,降水,Precipitation,10600,降雹強度,Hailfall Intensity
leaf_wetness,env,10500,降水,Precipitation,10610,葉面濡れ,Leaf Wetness
leaf_wetness_duration,env,10500,降水,Precipitation,10620,葉面濡れ時間,Leaf Wetness Duration
,,,,,,,
sunshine_duration,env,10700,日照時間,Sunshine Duration,10710,日照時間,Sunshine Duration
greenhouse_sunshine_duration,env,10700,日照時間,Sunshine Duration,10720,温室内日照時間,Greenhouse Sunshine Duration
possible_sunshine_duration,env,10700,日照時間,Sunshine Duration,10730,可照時間,Possible Sunshine Duration
relative_sunshine_duration,env,10700,日照時間,Sunshine Duration,10740,日照率,Relative Sunshine Duration
day_length,env,10700,日照時間,Sunshine Duration,10750,日長,Day Length
sunrise_time,env,10700,日照時間,Sunshine Duration,10760,日出時間,Sunrise Time
sunset_time,env,10700,日照時間,Sunshine Duration,10770,日没時間,Sunset Time
,,,,,,,
temperature,env,11000,温度,Temperature,11000,温度,Temperature
average_temperature,env,11000,温度,Temperature,11001,温度 [平均],Temperature Ave
maximum_temperature,env,11000,温度,Temperature,11002,温度 [最高],Temperature Max
minimum_temperature,env,11000,温度,Temperature,11003,温度 [最低],Temperature Min
air_temperature,env,11000,温度,Temperature,11010,気温,Air Temperature
greenhouse_air_temperature,env,11000,温度,Temperature,11020,温室内気温,Greenhouse Air Temperature
outside_air_temperature,env,11000,温度,Temperature,11030,屋外温度,Outside Air Temperature
canopy_temperature,env,11000,温度,Temperature,11040,群落温度,Canopy Temperature
leaf_temperature,env,11000,温度,Temperature,11050,葉面温度,Leaf Temperature
land_surface_temperature,env,11000,温度,Temperature,11060,地表面温度,Land Surface Temperature
growing-point_air_temperature,env,11000,温度,Temperature,11070,生長点温度,Growing Point Air Temperature
daytime_greenhouse_air_temperature,env,11000,温度,Temperature,11080,日中温室内気温,Daytime Greenhouse Air Temperature
nighttime_greenhouse_air_temperature,env,11000,温度,Temperature,11090,夜間温室内気温,Nighttime Greenhouse Air Temperature
heating_temperature,env,11000,温度,Temperature,11100,暖房温度,Heating Temperature
cooling_temperature,env,11000,温度,Temperature,11110,冷房温度,Cooling Temperature
greenhouse_measurement_box_temperature,env,11000,温度,Temperature,11120,温室内センサ内温度,Greenhouse Measurement Box Temperature
outside_measurement_box_temperature,env,11000,温度,Temperature,11130,屋外センサ内温度,Outside Measurement Box Temperature
growing_degree_days,env,11000,温度,Temperature,11140,成長度日,Growing Degree Days
accumulated_temperature,env,11000,温度,Temperature,11150,積算温度,Accumulated Temperature
effective_accumulated_temperature,env,11000,温度,Temperature,11160,有効積算温度,Effective Accumulated Temperature
,,,,,,,
absolute_humidity,env,12000,湿度,Humidity,12000,湿度 [絶対],Absolute Humidity
relative_humidity,env,12000,湿度,Humidity,12010,湿度 [相対],Relative Humidity
outside_relative_humidity,env,12000,湿度,Humidity,12020,屋外相対湿度,Outside Relative Humidity
greenhouse_relative_humidity,env,12000,湿度,Humidity,12030,温室内相対湿度,Greenhouse Relative Humidity
growing-point_relative_humidity,env,12000,湿度,Humidity,12040,生長点相対湿度,Growing Point Relative Humidity
dewpoint_temperature,env,12000,湿度,Humidity,12050,露点温度,Dewpoint Temperature
greenhouse_dewpoint_temperature,env,12000,湿度,Humidity,12060,温室内露点温度,Greenhouse Dewpoint Temperature
growing-point_dewpoint_temperature,env,12000,湿度,Humidity,12070,生長点露点温度,Growing Point Dewpoint Temperature
frostpoint_temperature,env,12000,湿度,Humidity,12080,霜点温度,Frostpoint Temperature
vapor_pressure,env,12000,湿度,Humidity,12090,蒸気圧,Vapor Pressure
growing-point_vapor_pressure,env,12000,湿度,Humidity,12100,生長点蒸気圧,Growing Point Vapor Pressure
vapor_pressure_deficit,env,12000,湿度,Humidity,12110,飽差(VPD),Vapor Pressure Deficit
humidity_deficit,env,12000,湿度,Humidity,12120,飽差(HD),Humidity Deficit
,,,,,,,
potential_evaporation,env,13000,蒸発,Evaporation,13010,ポテンシャル蒸発量,Potential Evaporation
potential_evapotranspiration,env,13000,蒸発,Evaporation,13020,ポテンシャル蒸発散量,Potential Evapotranspiration
evapotranspiration_FAO,env,13000,蒸発,Evaporation,13030,FAO基準蒸発散量,Evapotranspiration Fao
,,,,,,,
air_carbon_dioxide_vol-conc,env,14000,空気中成分,Atmospheric Composition,14010,CO2 空気中二酸化炭素体積濃度,Air CO2 Vol Conc
air_CO2,env,,,,14010,CO2 空気中二酸化炭素体積濃度,Air CO2 Vol Conc
air_oxygen_vol-conc,env,14000,空気中成分,Atmospheric Composition,14020,O2 空気中酸素体積濃度,Air O2 Vol Conc
air_O2,env,14000,,,14020,O2 空気中酸素体積濃度,Air O2 Vol Conc
air_nitrogen_dioxide_vol-conc,env,14000,空気中成分,Atmospheric Composition,14030,NO2 空気中二酸化窒素体積濃度,Air NO2 Vol Conc
air_NO2,env,,,,14030,NO2 空気中二酸化窒素体積濃度,Air NO2 Vol Conc
air_etylene_vol-conc,env,14000,空気中成分,Atmospheric Composition,14040,空気中エチレン,Air Ethylene Vol Conc
air_etylene-ammonia_vol-conc,env,14000,空気中成分,Atmospheric Composition,14050,空気中アンモニア体積濃度,Air Ammonia Vol Conc
dose_equivalent,env,14000,空気中成分,Atmospheric Composition,14060,線量当量,Dose Equivalent
energy_dose,env,14000,空気中成分,Atmospheric Composition,14070,吸収線量,Energy Dose
ion_dose,env,14000,空気中成分,Atmospheric Composition,14080,照射線量,Ion Dose
radioactivity,env,14000,空気中成分,Atmospheric Composition,14090,放射能,Radioactivity
,,,,,,,
air_pressure,env,15000,気圧,Atmospheric Pressure,15000,空気圧,Air Pressure
atmospheric_pressure,env,15000,気圧,Atmospheric Pressure,15010,気圧,Atmospheric Pressure
atmospheric_pressure_at_sea_level,env,15000,気圧,Atmospheric Pressure,15020,海面気圧,Atmospheric Pressure At Sea Level
atmospheric_pressure_at_station_level,env,15000,気圧,Atmospheric Pressure,15030,現地気圧,Atmospheric Pressure At Station Level
,,,,,,,
wind_speed,env,16000,風,Surface Wind,16010,風速,Wind Speed
maximum_instananeous_wind_speed,env,16000,風,Surface Wind,16020,最大瞬間風速,Maximum Instantaneous Wind Speed
wind_direction,env,16000,風,Surface Wind,16030,風向,Wind Direction
wind_direction_in_maximum_wind_speed,env,16000,風,Surface Wind,16040,風向（最大風速時）,Wind Direction In Maximum Wind Speed
wind_direction_in_maximum_instananeous_wind_speed,env,16000,風,Surface Wind,16050,風向（最大瞬間風速時）,Wind Direction In Maximum Instantaneous Wind Speed
growing-point_wind_direction_in_maximum_instananeous_wind_speed,env,16000,風,Surface Wind,16060,生長点風向（最大瞬間風速時）,Growing Point Wind Direction In Maximum Instantaneous Wind Speed
,,,,,,,
illuminance,env,17000,放射,Radiation,17010,照度,Illuminance
irradiance,env,17000,放射,Radiation,17020,放射照度,Irradiance
solar_irradiance,env,17000,放射,Radiation,17030,日射照度,Solar Irradiance
diffuse_solar_irradiance,env,17000,放射,Radiation,17040,散乱日射照度,Diffuse Solar Irradiance
direct_solar_irradiance,env,17000,放射,Radiation,17050,直達日射照度,Direct Solar Irradiance
global_solar_irradiance,env,17000,放射,Radiation,17060,全天日射照度,Global Solar Irradiance
global_solar_radiant_exposure,env,17000,放射,Radiation,17070,全天日射量,Global Solar Radiant Exposure
daily_global_solar_radiant_exposure,env,17000,放射,Radiation,17080,日全天日射量,Daily Global Solar Radiant Exposure
greenhouse_solar_irradiance,env,17000,放射,Radiation,17090,温室内日射照度,Greenhouse Solar Irradiance
greenhouse_diffuse_solar_irradiance,env,17000,放射,Radiation,17100,温室内散乱日射照度,Greenhouse Diffuse Solar Irradiance
greenhouse_direct_solar_irradiance,env,17000,放射,Radiation,17110,温室内直達日射照度,Greenhouse Direct Solar Irradiance
downward_longwave_irradiance,env,17000,放射,Radiation,17120,長波放射,Downward Longwave Irradiance
greenhouse_global_solar_irradiance,env,17000,放射,Radiation,17130,温室内全天日射照度,Greenhouse Global Solar Irradiance
greenhouse_solar_radiant_exposure,env,17000,放射,Radiation,17140,温室内日射量,Greenhouse Solar Radiant Exposure
greenhouse_global_solar_radiant_exposure,env,17000,放射,Radiation,17150,温室内全天日射量,Greenhouse Global Solar Radiant Exposure
PAR_radiant_exposure,env,17000,放射,Radiation,17160,光合成有効放射量,PAR Radiant Exposure
photosynthetic_photon_flux,env,17000,放射,Radiation,17170,光合成光量子フラックス,Photosynthetic Photon Flux
photosynthetic_photon_flux_density,env,17000,放射,Radiation,17180,光合成光量子束密度,Photosynthetic Photon Flux Density
outside_photosynthetic_photon_flux_density,env,17000,放射,Radiation,17190,屋外光合成光量子束密度,Outside Photosynthetic Photon Flux Density
plant_photosynthetic_photon_flux_density,env,17000,放射,Radiation,17200,植物体光合成光量子束密度,Plant Photosynthetic Photon Flux Density
